timestamp,0xF030D05B_blue_temperature (degrees C),0xF030D05B_blue_humidity (% rH),0xEFCF86D7_yellow_temperature (degrees C),0xEFCF86D7_yellow_humidity (% rH),0xF030D0CF_red_temperature (degrees C),0xF030D0CF_red_humidity (% rH)
723296,,,21.58,51.97,,
723405,,,,,22.56,10.4
724207,24.48,10.78,,,,
724308,,,21.57,51.96,,
724417,,,,,22.56,10.35
725219,24.45,10.77,,,,
725319,,,21.57,51.99,,
725428,,,,,22.55,10.35
726231,24.44,10.76,,,,
726331,,,21.58,52.0,,
726440,,,,,22.57,10.3
727242,24.46,10.68,,,,
727343,,,21.57,51.94,,
727452,,,,,22.56,10.28
728254,24.44,10.71,,,,
728356,,,21.57,51.97,,
728463,,,,,22.56,10.23
729266,24.43,10.76,,,,
729367,,,21.57,51.94,,
729475,,,,,22.56,10.19
730278,24.45,10.71,,,,
730379,,,21.58,51.95,,
730487,,,,,22.57,10.14
731289,24.46,10.62,,,,
731391,,,21.57,51.93,,
731498,,,,,22.57,10.12
732301,24.45,10.56,,,,
732403,,,21.57,51.94,,
732510,,,,,22.56,10.08
733313,24.43,10.51,,,,
733414,,,21.56,51.93,,
733522,,,,,22.56,10.04
734324,24.43,10.43,,,,
734426,,,21.56,51.91,,
734533,,,,,22.56,10.01
735336,24.42,10.45,,,,
735438,,,21.55,51.93,,
735545,,,,,22.58,9.98
736348,24.44,10.5,,,,
736449,,,21.57,51.94,,
736557,,,,,22.58,9.92
737359,24.44,10.43,,,,
737461,,,21.57,51.97,,
737568,,,,,22.59,9.88
738371,24.41,10.33,,,,
738473,,,21.58,51.94,,
738580,,,,,22.58,9.83
739383,24.44,10.27,,,,
739484,,,21.57,51.96,,
739592,,,,,22.57,9.83
740395,24.44,10.26,,,,
740496,,,21.58,51.96,,
740603,,,,,22.56,9.8
741407,24.43,10.23,,,,
741508,,,21.57,51.95,,
741615,,,,,22.58,9.77
742418,24.43,10.16,,,,
742519,,,21.57,51.97,,
742627,,,,,22.55,9.69
743430,24.41,10.08,,,,
743531,,,21.55,51.93,,
743639,,,,,22.59,9.66
744442,24.42,10.09,,,,
744543,,,21.6,51.97,,
744650,,,,,22.58,9.63
745454,24.44,10.07,,,,
745554,,,21.56,51.96,,
745662,,,,,22.58,9.59
746466,24.44,10.01,,,,
746566,,,21.58,51.98,,
746674,,,,,22.57,9.59
747477,24.45,10.02,,,,
747578,,,21.58,51.94,,
747686,,,,,22.58,9.5
748489,24.44,10.03,,,,
748590,,,21.59,51.94,,
748697,,,,,22.6,9.51
749501,24.44,9.98,,,,
749601,,,21.58,51.86,,
749709,,,,,22.58,9.46
750512,24.45,9.9,,,,
750613,,,21.63,51.92,,
750721,,,,,22.6,9.46
751524,24.43,9.92,,,,
751625,,,21.62,51.89,,
751733,,,,,22.59,9.37
752536,24.45,9.93,,,,
752636,,,21.63,51.85,,
752744,,,,,22.59,9.36
753548,24.41,9.85,,,,
753648,,,21.64,51.83,,
753756,,,,,22.59,9.32
754559,24.44,9.8,,,,
754660,,,21.64,51.82,,
754768,,,,,22.57,9.32
755571,24.42,9.78,,,,
755671,,,21.61,51.83,,
755779,,,,,22.58,9.27
756583,24.46,9.76,,,,
756683,,,21.62,51.8,,
756791,,,,,22.58,9.22
757595,24.44,9.73,,,,
757694,,,21.65,51.77,,
757803,,,,,22.59,9.21
758606,24.44,9.7,,,,
758706,,,21.68,51.77,,
758815,,,,,22.61,9.15
759618,24.45,9.67,,,,
759718,,,21.64,51.77,,
759826,,,,,22.58,9.12
760630,24.44,9.57,,,,
760730,,,21.68,51.71,,
760838,,,,,22.59,9.09
761642,24.44,9.55,,,,
761741,,,21.69,51.73,,
761850,,,,,22.58,9.14
762654,24.46,9.51,,,,
762753,,,21.7,51.73,,
762861,,,,,22.58,9.06
763665,24.44,9.58,,,,
763765,,,21.66,51.66,,
763873,,,,,22.59,9.05
764677,24.47,9.51,,,,
764776,,,21.65,51.65,,
764885,,,,,22.59,9.03
765689,24.46,9.54,,,,
765788,,,21.66,51.62,,
765897,,,,,22.59,8.99
766700,24.46,9.41,,,,
766800,,,21.69,51.67,,
766908,,,,,22.57,8.96
767712,24.46,9.38,,,,
767812,,,21.69,51.62,,
767920,,,,,22.58,8.93
768724,24.47,9.44,,,,
768823,,,21.68,51.63,,
768932,,,,,22.59,8.91
769736,24.46,9.38,,,,
769835,,,21.66,51.6,,
769944,,,,,22.6,8.92
770748,24.46,9.41,,,,
770846,,,21.66,51.61,,
770955,,,,,22.58,8.86
771759,24.47,9.24,,,,
771858,,,21.67,51.62,,
771967,,,,,22.6,8.84
772771,24.46,9.31,,,,
772870,,,21.67,51.63,,
772979,,,,,22.59,8.85
773783,24.45,9.26,,,,
773882,,,21.66,51.62,,
773990,,,,,22.6,8.81
774795,24.45,9.25,,,,
774893,,,21.66,51.6,,
775002,,,,,22.58,8.85
775806,24.47,9.21,,,,
775905,,,21.69,51.66,,
776014,,,,,22.58,8.76
776818,24.47,9.18,,,,
776917,,,21.68,51.6,,
777026,,,,,22.59,8.71
777829,24.45,9.12,,,,
777928,,,21.68,51.59,,
778038,,,,,22.59,8.69
778842,24.47,9.06,,,,
778940,,,21.64,51.58,,
779049,,,,,22.6,8.68
779854,24.44,9.05,,,,
779952,,,21.62,51.6,,
780061,,,,,22.58,8.64
780866,24.44,9.01,,,,
780963,,,21.64,51.63,,
781073,,,,,22.61,8.61
781878,24.44,9.08,,,,
781975,,,21.66,51.63,,
782085,,,,,22.59,8.58
782889,24.46,9.06,,,,
782987,,,21.64,51.68,,
783097,,,,,22.59,8.61
783901,24.42,8.97,,,,
783998,,,21.66,51.67,,
784108,,,,,22.6,8.56
784913,24.43,9.02,,,,
785010,,,21.66,51.68,,
785120,,,,,22.6,8.51
785925,24.44,8.96,,,,
786021,,,21.66,51.68,,
786132,,,,,22.6,8.54
786936,24.44,8.97,,,,
787033,,,21.65,51.69,,
787143,,,,,22.58,8.48
787948,24.44,8.93,,,,
788045,,,21.67,51.67,,
788155,,,,,22.57,8.45
788960,24.43,8.88,,,,
789056,,,21.66,51.65,,
789167,,,,,22.63,8.41
789972,24.45,8.89,,,,
790068,,,21.67,51.66,,
790179,,,,,22.59,8.35
790983,24.44,8.89,,,,
791080,,,21.67,51.64,,
791191,,,,,22.57,8.36
791995,24.42,8.82,,,,
792091,,,21.7,51.66,,
792203,,,,,22.58,8.33
793007,24.43,8.78,,,,
793103,,,21.69,51.63,,
793214,,,,,22.6,8.3
794019,24.44,8.81,,,,
794115,,,21.69,51.63,,
794226,,,,,22.61,8.25
795030,24.46,8.78,,,,
795127,,,21.66,51.61,,
795238,,,,,22.59,8.26
796042,24.44,8.74,,,,
796138,,,21.66,51.62,,
796250,,,,,22.61,8.21
797054,24.46,8.8,,,,
797150,,,21.66,51.6,,
797262,,,,,22.61,8.22
798065,24.45,8.75,,,,
798162,,,21.67,51.64,,
798273,,,,,22.62,8.2
799077,24.46,8.69,,,,
799173,,,21.65,51.63,,
799285,,,,,22.6,8.16
800089,24.46,8.66,,,,
800185,,,21.66,51.65,,
800297,,,,,22.59,8.15
801100,24.46,8.66,,,,
801197,,,21.66,51.61,,
801309,,,,,22.6,8.12
802112,24.43,8.64,,,,
802208,,,21.66,51.63,,
802321,,,,,22.61,8.04
803124,24.41,8.64,,,,
803220,,,21.67,51.59,,
803333,,,,,22.59,8.02
804135,24.43,8.57,,,,
804232,,,21.69,51.58,,
804344,,,,,22.6,8.02
805147,24.42,8.5,,,,
805243,,,21.69,51.6,,
805356,,,,,22.59,8.02
806159,24.45,8.48,,,,
806255,,,21.68,51.57,,
806368,,,,,22.6,7.97
807171,24.44,8.47,,,,
807266,,,21.65,51.58,,
807380,,,,,22.6,7.93
808182,24.46,8.48,,,,
808278,,,21.7,51.6,,
808392,,,,,22.6,7.94
809194,24.46,8.5,,,,
809290,,,21.69,51.54,,
809404,,,,,22.63,7.91
810205,24.43,8.4,,,,
810302,,,21.72,51.56,,
810415,,,,,22.61,7.87
811217,24.44,8.39,,,,
811313,,,21.7,51.56,,
811427,,,,,22.6,7.88
812229,24.48,8.31,,,,
812325,,,21.68,51.58,,
812439,,,,,22.62,7.84
813241,24.43,8.34,,,,
813336,,,21.69,51.58,,
813451,,,,,22.62,7.85
814253,24.47,8.32,,,,
814348,,,21.7,51.59,,
814462,,,,,22.61,7.8
815265,24.48,8.36,,,,
815360,,,21.71,51.56,,
815474,,,,,22.6,7.81
816276,24.47,8.28,,,,
816372,,,21.71,51.55,,
816486,,,,,22.61,7.78
817288,24.43,8.24,,,,
817383,,,21.7,51.55,,
817498,,,,,22.63,7.7
818300,24.43,8.15,,,,
818395,,,21.73,51.54,,
818509,,,,,22.61,7.73
819311,24.45,8.13,,,,
819407,,,21.7,51.53,,
819521,,,,,22.59,7.68
820323,24.47,8.11,,,,
820418,,,21.69,51.55,,
820533,,,,,22.61,7.67
821335,24.48,8.11,,,,
821430,,,21.73,51.5,,
821545,,,,,22.61,7.68
822347,24.46,8.09,,,,
822442,,,21.7,51.53,,
822556,,,,,22.6,7.67
823359,24.44,8.13,,,,
823453,,,21.69,51.53,,
823569,,,,,22.6,7.64
824370,24.46,8.19,,,,
824465,,,21.7,51.5,,
824580,,,,,22.63,7.63
825382,24.44,8.2,,,,
825477,,,21.68,51.49,,
825592,,,,,22.63,7.68
826394,24.45,8.19,,,,
826488,,,21.73,51.51,,
826604,,,,,22.63,7.63
827406,24.46,8.12,,,,
827500,,,21.72,51.54,,
827615,,,,,22.63,7.62
828417,24.45,8.14,,,,
828512,,,21.7,51.51,,
828627,,,,,22.64,7.67
829429,24.45,8.19,,,,
829523,,,21.73,51.56,,
829639,,,,,22.65,7.57
830441,24.48,8.1,,,,
830535,,,21.73,51.57,,
830650,,,,,22.66,7.55
831452,24.45,8.17,,,,
831546,,,21.72,51.52,,
831662,,,,,22.65,7.59
832464,24.46,8.18,,,,
832558,,,21.76,51.52,,
832674,,,,,22.65,7.55
833476,24.46,8.16,,,,
833570,,,21.78,51.51,,
833686,,,,,22.66,7.56
834488,24.44,8.15,,,,
834582,,,21.76,51.5,,
834697,,,,,22.67,7.54
835499,24.45,8.24,,,,
835593,,,21.73,51.48,,
835709,,,,,22.65,7.51
836511,24.45,8.21,,,,
836605,,,21.73,51.44,,
836721,,,,,22.68,7.53
837523,24.47,8.27,,,,
837616,,,21.76,51.49,,
837732,,,,,22.68,7.52
838534,24.48,8.26,,,,
838628,,,21.72,51.43,,
838744,,,,,22.69,7.55
839546,24.48,8.18,,,,
839640,,,21.74,51.46,,
839756,,,,,22.68,7.57
840558,24.48,8.21,,,,
840652,,,21.74,51.46,,
840767,,,,,22.7,7.52
841569,24.43,8.12,,,,
841663,,,21.74,51.48,,
841779,,,,,22.69,7.55
842581,24.46,8.15,,,,
842675,,,21.73,51.48,,
842791,,,,,22.69,7.49
843593,24.48,8.15,,,,
843687,,,21.75,51.5,,
843803,,,,,22.69,7.46
844604,24.47,8.14,,,,
844698,,,21.76,51.52,,
844814,,,,,22.71,7.43
845616,24.46,8.12,,,,
845710,,,21.75,51.49,,
845826,,,,,22.71,7.49
846628,24.5,8.15,,,,
846722,,,21.73,51.48,,
846838,,,,,22.71,7.47
847640,24.46,8.07,,,,
847733,,,21.75,51.5,,
847850,,,,,22.7,7.49
848651,24.48,8.04,,,,
848745,,,21.8,51.47,,
848862,,,,,22.71,7.43
849663,24.5,8.06,,,,
849757,,,21.78,51.46,,
849873,,,,,22.7,7.49
850675,24.49,8.04,,,,
850768,,,21.76,51.41,,
850885,,,,,22.71,7.45
851686,24.51,8.04,,,,
851780,,,21.73,51.44,,
851897,,,,,22.73,7.41
852698,24.51,8.05,,,,
852791,,,21.77,51.39,,
852909,,,,,22.73,7.4
853710,24.54,7.97,,,,
853803,,,21.77,51.4,,
853920,,,,,22.71,7.46
854722,24.48,7.99,,,,
854815,,,21.77,51.45,,
854932,,,,,22.72,7.41
855733,24.47,7.91,,,,
855827,,,21.79,51.42,,
855944,,,,,22.7,7.41
856745,24.5,7.98,,,,
856838,,,21.79,51.45,,
856955,,,,,22.72,7.44
857757,24.54,8.02,,,,
857850,,,21.79,51.44,,
857967,,,,,22.73,7.43
858768,24.54,7.99,,,,
858862,,,21.77,51.44,,
858979,,,,,22.74,7.45
859780,24.51,8.01,,,,
859874,,,21.78,51.43,,
859990,,,,,22.75,7.43
860792,24.52,8.04,,,,
860886,,,21.77,51.42,,
861002,,,,,22.75,7.38
861804,24.53,7.94,,,,
861897,,,21.76,51.4,,
862014,,,,,22.75,7.38
862816,24.55,7.91,,,,
862909,,,21.75,51.41,,
863026,,,,,22.75,7.39
863828,24.53,7.91,,,,
863920,,,21.77,51.4,,
864037,,,,,22.75,7.45
864839,24.54,7.95,,,,
864932,,,21.8,51.4,,
865049,,,,,22.76,7.37
865851,24.52,8.02,,,,
865944,,,21.8,51.38,,
866061,,,,,22.75,7.38
866863,24.56,8.0,,,,
866956,,,21.79,51.41,,
867073,,,,,22.75,7.39
867874,24.55,7.93,,,,
867967,,,21.8,51.36,,
868084,,,,,22.76,7.34
868886,24.57,7.88,,,,
868979,,,21.82,51.36,,
869096,,,,,22.76,7.37
869898,24.55,7.91,,,,
869990,,,21.84,51.36,,
870108,,,,,22.76,7.35
870910,24.56,7.94,,,,
871002,,,21.83,51.35,,
871120,,,,,22.77,7.31
871921,24.56,7.97,,,,
872014,,,21.81,51.31,,
872131,,,,,22.76,7.33
872933,24.58,8.02,,,,
873025,,,21.82,51.32,,
873143,,,,,22.78,7.32
873945,24.58,7.97,,,,
874037,,,21.81,51.27,,
874155,,,,,22.81,7.32
874956,24.57,7.99,,,,
875049,,,21.82,51.27,,
875166,,,,,22.81,7.32
875968,24.58,8.04,,,,
876061,,,21.78,51.26,,
876178,,,,,22.78,7.33
876980,24.59,7.97,,,,
877072,,,21.79,51.26,,
877190,,,,,22.77,7.36
877991,24.61,8.02,,,,
878084,,,21.8,51.23,,
878202,,,,,22.79,7.28
879003,24.59,8.02,,,,
879096,,,21.81,51.25,,
879213,,,,,22.79,7.25
880015,24.63,8.01,,,,
880107,,,21.76,51.28,,
880225,,,,,22.79,7.3
881026,24.63,7.96,,,,
881119,,,21.81,51.25,,
881237,,,,,22.82,7.28
882038,24.63,7.9,,,,
882131,,,21.77,51.28,,
882248,,,,,22.81,7.24
883050,24.62,7.84,,,,
883142,,,21.75,51.27,,
883260,,,,,22.83,7.29
884061,24.6,7.87,,,,
884154,,,21.76,51.29,,
884272,,,,,22.79,7.27
885073,24.63,7.82,,,,
885166,,,21.78,51.29,,
885283,,,,,22.8,7.29
886085,24.64,7.78,,,,
886177,,,21.75,51.35,,
886295,,,,,22.82,7.28
887097,24.64,7.77,,,,
887189,,,21.76,51.33,,
887307,,,,,22.82,7.33
888108,24.65,7.73,,,,
888201,,,21.77,51.35,,
888318,,,,,22.84,7.26
889120,24.64,7.72,,,,
889212,,,21.75,51.35,,
889330,,,,,22.83,7.28
890132,24.64,7.71,,,,
890224,,,21.73,51.35,,
890341,,,,,22.85,7.29
891143,24.64,7.75,,,,
891236,,,21.74,51.35,,
891353,,,,,22.85,7.25
892155,24.66,7.75,,,,
892247,,,21.77,51.32,,
892365,,,,,22.86,7.23
893167,24.64,7.76,,,,
893259,,,21.76,51.31,,
893376,,,,,22.87,7.24
894179,24.67,7.74,,,,
894271,,,21.77,51.33,,
894388,,,,,22.88,7.29
895190,24.64,7.72,,,,
895282,,,21.76,51.33,,
895400,,,,,22.85,7.22
896202,24.67,7.76,,,,
896294,,,21.77,51.34,,
896411,,,,,22.87,7.25
897214,24.66,7.8,,,,
897306,,,21.77,51.31,,
897423,,,,,22.87,7.24
898225,24.64,7.8,,,,
898317,,,21.77,51.33,,
898435,,,,,22.87,7.27
899237,24.65,7.75,,,,
899329,,,21.76,51.28,,
899446,,,,,22.85,7.17
900249,24.65,7.76,,,,
900340,,,21.78,51.33,,
900458,,,,,22.85,7.21
901260,24.67,7.81,,,,
901352,,,21.79,51.33,,
901469,,,,,22.85,7.2
902272,24.66,7.85,,,,
902364,,,21.79,51.3,,
902481,,,,,22.86,7.2
903284,24.71,7.84,,,,
903375,,,21.76,51.3,,
903493,,,,,22.89,7.26
904296,24.69,7.77,,,,
904387,,,21.78,51.29,,
904504,,,,,22.86,7.2
905308,24.7,7.73,,,,
905399,,,21.78,51.28,,
905516,,,,,22.88,7.24
906319,24.67,7.73,,,,
906410,,,21.83,51.29,,
906528,,,,,22.87,7.2
907331,24.69,7.69,,,,
907422,,,21.81,51.27,,
907539,,,,,22.87,7.2
908343,24.72,7.67,,,,
908434,,,21.8,51.26,,
908551,,,,,22.87,7.18
909355,24.7,7.69,,,,
909446,,,21.8,51.22,,
909563,,,,,22.88,7.23
910366,24.7,7.7,,,,
910457,,,21.78,51.25,,
910574,,,,,22.89,7.21
911379,24.72,7.68,,,,
911469,,,21.78,51.26,,
911586,,,,,22.89,7.23
912390,24.71,7.69,,,,
912480,,,21.79,51.27,,
912598,,,,,22.9,7.17
913402,24.72,7.74,,,,
913492,,,21.8,51.26,,
913609,,,,,22.91,7.2
914414,24.71,7.74,,,,
914504,,,21.8,51.25,,
914621,,,,,22.9,7.18
915425,24.72,7.74,,,,
915515,,,21.81,51.26,,
915633,,,,,22.9,7.18
916437,24.69,7.71,,,,
916527,,,21.77,51.25,,
916644,,,,,22.92,7.2
917449,24.7,7.8,,,,
917539,,,21.79,51.3,,
917656,,,,,22.92,7.15
918460,24.71,7.82,,,,
918550,,,21.82,51.24,,
918667,,,,,22.93,7.15
919472,24.68,7.8,,,,
919562,,,21.8,51.28,,
919679,,,,,22.93,7.17
920484,24.67,7.86,,,,
920574,,,21.8,51.24,,
920691,,,,,22.93,7.17
921495,24.68,7.79,,,,
921586,,,21.81,51.26,,
921702,,,,,22.94,7.15
922507,24.71,7.81,,,,
922597,,,21.84,51.27,,
922714,,,,,22.92,7.18
923519,24.7,7.75,,,,
923609,,,21.82,51.25,,
923726,,,,,22.93,7.17
924530,24.71,7.77,,,,
924621,,,21.83,51.25,,
924737,,,,,22.92,7.14
925542,24.7,7.72,,,,
925632,,,21.76,51.27,,
925749,,,,,22.93,7.14
926554,24.72,7.72,,,,
926644,,,21.83,51.26,,
926760,,,,,22.93,7.16
927566,24.72,7.71,,,,
927656,,,21.82,51.26,,
927772,,,,,22.93,7.13
928578,24.71,7.71,,,,
928667,,,21.83,51.25,,
928784,,,,,22.95,7.16
929589,24.71,7.68,,,,
929679,,,21.8,51.23,,
929795,,,,,22.92,7.17
930601,24.71,7.7,,,,
930691,,,21.85,51.25,,
930807,,,,,22.96,7.14
931612,24.68,7.79,,,,
931703,,,21.83,51.22,,
931819,,,,,22.94,7.08
932624,24.73,7.75,,,,
932715,,,21.79,51.25,,
932830,,,,,22.94,7.14
933636,24.73,7.82,,,,
933726,,,21.82,51.23,,
933842,,,,,22.93,7.12
934647,24.75,7.76,,,,
934738,,,21.81,51.22,,
934854,,,,,22.94,7.13
935659,24.75,7.72,,,,
935750,,,21.8,51.22,,
935865,,,,,22.97,7.11
936671,24.69,7.72,,,,
936761,,,21.78,51.24,,
936877,,,,,22.94,7.12
937683,24.71,7.74,,,,
937773,,,21.79,51.25,,
937889,,,,,22.93,7.08
938694,24.72,7.74,,,,
938785,,,21.8,51.29,,
938900,,,,,22.94,7.11
939706,24.75,7.77,,,,
939796,,,21.8,51.28,,
939912,,,,,22.94,7.08
940718,24.72,7.7,,,,
940808,,,21.8,51.26,,
940924,,,,,22.93,7.09
941729,24.72,7.74,,,,
941819,,,21.77,51.28,,
941936,,,,,22.98,7.09
942741,24.74,7.69,,,,
942831,,,21.77,51.25,,
942947,,,,,22.95,7.04
943752,24.74,7.73,,,,
943843,,,21.78,51.28,,
943959,,,,,22.97,7.07
944764,24.74,7.74,,,,
944854,,,21.77,51.26,,
944971,,,,,22.95,7.01
945776,24.73,7.69,,,,
945866,,,21.78,51.28,,
945983,,,,,22.97,7.04
946787,24.75,7.62,,,,
946878,,,21.76,51.27,,
946994,,,,,22.99,7.02
947799,24.75,7.6,,,,
947890,,,21.76,51.31,,
948006,,,,,22.97,7.04
948811,24.74,7.55,,,,
948901,,,21.75,51.28,,
949018,,,,,22.99,7.02
949822,24.74,7.56,,,,
949913,,,21.79,51.34,,
950029,,,,,22.97,7.06
950834,24.76,7.53,,,,
950925,,,21.77,51.34,,
951041,,,,,22.97,7.04
951846,24.75,7.58,,,,
951936,,,21.75,51.35,,
952053,,,,,22.98,7.0
952857,24.77,7.53,,,,
952948,,,21.77,51.32,,
953065,,,,,22.99,7.07
953869,24.77,7.53,,,,
953960,,,21.76,51.34,,
954077,,,,,22.99,7.0
954881,24.8,7.53,,,,
954971,,,21.77,51.35,,
955089,,,,,23.0,7.02
955892,24.78,7.48,,,,
955983,,,21.76,51.35,,
956101,,,,,23.01,7.04
956904,24.81,7.49,,,,
956995,,,21.77,51.32,,
957112,,,,,23.02,7.05
957916,24.79,7.46,,,,
958006,,,21.73,51.38,,
958124,,,,,22.99,7.0
958928,24.81,7.47,,,,
959018,,,21.75,51.36,,
959136,,,,,23.01,7.0
959939,24.81,7.45,,,,
960030,,,21.75,51.38,,
960148,,,,,22.99,7.02
960951,24.8,7.4,,,,
961041,,,21.73,51.43,,
961159,,,,,23.02,7.04
961963,24.78,7.42,,,,
962053,,,21.75,51.4,,
962171,,,,,23.01,6.98
962974,24.78,7.5,,,,
963065,,,21.77,51.45,,
963183,,,,,23.03,7.05
963986,24.78,7.5,,,,
964076,,,21.75,51.46,,
964195,,,,,23.03,7.01
964998,24.78,7.5,,,,
965088,,,21.8,51.51,,
965206,,,,,23.02,7.0
966009,24.79,7.51,,,,
966099,,,21.82,51.49,,
966218,,,,,23.02,7.03
967021,24.78,7.53,,,,
967111,,,21.81,51.65,,
967230,,,,,23.03,7.04
968032,24.76,7.54,,,,
968123,,,21.76,51.62,,
968242,,,,,23.02,7.0
969044,24.76,7.59,,,,
969134,,,21.81,51.59,,
969254,,,,,23.01,6.99
970056,24.74,7.56,,,,
970146,,,21.85,51.57,,
970265,,,,,23.04,7.0
971067,24.79,7.6,,,,
971158,,,21.83,51.51,,
971277,,,,,23.03,7.03
972079,24.81,7.64,,,,
972169,,,21.83,51.5,,
972289,,,,,23.03,7.04
973091,24.78,7.64,,,,
973181,,,21.84,51.46,,
973300,,,,,23.09,7.05
974102,24.79,7.59,,,,
974193,,,21.8,51.46,,
974312,,,,,23.03,7.05
975114,24.81,7.56,,,,
975204,,,21.81,51.42,,
975323,,,,,23.03,7.03
976126,24.79,7.57,,,,
976216,,,21.81,51.45,,
976335,,,,,23.03,7.0
977137,24.79,7.61,,,,
977227,,,21.86,51.41,,
977347,,,,,23.07,7.01
978149,24.82,7.6,,,,
978239,,,21.86,51.42,,
978358,,,,,23.05,7.03
979160,24.82,7.57,,,,
979251,,,21.82,51.39,,
979370,,,,,23.06,7.03
980172,24.82,7.54,,,,
980262,,,21.81,51.4,,
980382,,,,,23.07,7.03
981184,24.8,7.55,,,,
981274,,,21.81,51.4,,
981393,,,,,23.08,7.02
982196,24.81,7.58,,,,
982285,,,21.8,51.37,,
982405,,,,,23.07,7.02
983208,24.83,7.65,,,,
983297,,,21.79,51.4,,
983417,,,,,23.08,7.07
984219,24.83,7.57,,,,
984309,,,21.8,51.4,,
984428,,,,,23.09,7.05
985231,24.86,7.61,,,,
985320,,,21.78,51.37,,
985440,,,,,23.09,7.04
986243,24.84,7.54,,,,
986332,,,21.78,51.39,,
986452,,,,,23.08,7.1
987254,24.84,7.62,,,,
987344,,,21.77,51.39,,
987463,,,,,23.08,7.03
988266,24.82,7.62,,,,
988355,,,21.79,51.42,,
988475,,,,,23.09,7.07
989278,24.84,7.63,,,,
989367,,,21.78,51.43,,
989487,,,,,23.09,7.05
990289,24.84,7.66,,,,
990379,,,21.78,51.37,,
990499,,,,,23.09,7.05
991301,24.81,7.67,,,,
991390,,,21.81,51.39,,
991510,,,,,23.11,7.08
992313,24.82,7.64,,,,
992402,,,21.83,51.4,,
992522,,,,,23.11,7.12
993324,24.83,7.64,,,,
993413,,,21.82,51.36,,
993534,,,,,23.1,7.14
994336,24.86,7.62,,,,
994425,,,21.81,51.36,,
994546,,,,,23.11,7.09
995348,24.87,7.61,,,,
995437,,,21.82,51.36,,
995557,,,,,23.11,7.08
996359,24.84,7.58,,,,
996449,,,21.81,51.36,,
996569,,,,,23.11,7.09
997371,24.85,7.64,,,,
997460,,,21.84,51.36,,
997581,,,,,23.12,7.1
998383,24.86,7.63,,,,
998472,,,21.81,51.34,,
998593,,,,,23.14,7.1
999395,24.85,7.62,,,,
999483,,,21.81,51.35,,
999605,,,,,23.13,7.16
1000406,24.84,7.65,,,,
1000495,,,21.78,51.34,,
1000616,,,,,23.14,7.14
1001418,24.87,7.64,,,,
1001507,,,21.78,51.35,,
1001628,,,,,23.13,7.09
1002430,24.88,7.63,,,,
1002518,,,21.78,51.37,,
1002640,,,,,23.13,7.08
1003441,24.89,7.63,,,,
1003530,,,21.81,51.4,,
1003651,,,,,23.14,7.08
1004453,24.88,7.68,,,,
1004542,,,21.78,51.39,,
1004663,,,,,23.15,7.08
1005465,24.86,7.61,,,,
1005553,,,21.78,51.39,,
1005675,,,,,23.15,7.1
1006476,24.87,7.59,,,,
1006565,,,21.78,51.46,,
1006686,,,,,23.15,7.14
1007488,24.88,7.56,,,,
1007577,,,21.78,51.41,,
1007698,,,,,23.13,7.15
1008499,24.88,7.54,,,,
1008588,,,21.77,51.44,,
1008709,,,,,23.15,7.16
1009511,24.88,7.54,,,,
1009600,,,21.8,51.45,,
1009721,,,,,23.12,7.17
1010523,24.87,7.62,,,,
1010612,,,21.77,51.47,,
1010733,,,,,23.16,7.16
1011534,24.88,7.65,,,,
1011623,,,21.77,51.46,,
1011744,,,,,23.15,7.14
1012546,24.88,7.69,,,,
1012635,,,21.78,51.48,,
1012756,,,,,23.14,7.13
1013558,24.9,7.77,,,,
1013646,,,21.76,51.43,,
1013767,,,,,23.17,7.15
1014569,24.89,7.77,,,,
1014658,,,21.78,51.45,,
1014779,,,,,23.17,7.1
1015581,24.89,7.73,,,,
1015670,,,21.79,51.44,,
1015791,,,,,23.16,7.2
1016592,24.9,7.72,,,,
1016681,,,21.79,51.48,,
1016802,,,,,23.18,7.17
1017604,24.91,7.64,,,,
1017693,,,21.78,51.44,,
1017814,,,,,23.14,7.11
1018616,24.94,7.66,,,,
1018705,,,21.78,51.47,,
1018826,,,,,23.18,7.08
1019627,24.91,7.62,,,,
1019716,,,21.79,51.48,,
1019837,,,,,23.18,7.2
1020639,24.89,7.65,,,,
1020728,,,21.76,51.42,,
1020849,,,,,23.19,7.19
1021651,24.89,7.65,,,,
1021739,,,21.78,51.43,,
1021860,,,,,23.17,7.18
1022662,24.92,7.62,,,,
1022751,,,21.76,51.41,,
1022872,,,,,23.18,7.17
1023674,24.91,7.65,,,,
1023763,,,21.76,51.45,,
1023884,,,,,23.19,7.13
1024685,24.91,7.66,,,,
1024775,,,21.77,51.47,,
1024895,,,,,23.17,7.16
1025697,24.93,7.75,,,,
1025786,,,21.77,51.46,,
1025907,,,,,23.17,7.19
1026709,24.93,7.7,,,,
1026798,,,21.75,51.46,,
1026919,,,,,23.16,7.17
1027720,24.9,7.66,,,,
1027810,,,21.75,51.48,,
1027930,,,,,23.16,7.14
1028732,24.91,7.64,,,,
1028821,,,21.73,51.47,,
1028942,,,,,23.18,7.12
1029743,24.9,7.68,,,,
1029833,,,21.76,51.51,,
1029954,,,,,23.18,7.11
1030755,24.93,7.68,,,,
1030845,,,21.72,51.47,,
1030965,,,,,23.19,7.14
1031767,24.96,7.74,,,,
1031856,,,21.75,51.53,,
1031977,,,,,23.19,7.18
1032778,24.96,7.68,,,,
