timestamp,0xF030D05B_blue_temperature (degrees C),0xF030D05B_blue_humidity (% rH),0xEFCF86D7_yellow_temperature (degrees C),0xEFCF86D7_yellow_humidity (% rH),0xF030D0CF_red_temperature (degrees C),0xF030D0CF_red_humidity (% rH)
85816,24.41,14.64,,,,
85936,,,21.64,51.67,,
86015,,,,,22.35,14.28
86828,24.42,14.62,,,,
86948,,,21.63,51.7,,
87027,,,,,22.38,14.21
87840,24.36,14.54,,,,
87960,,,21.65,51.67,,
88039,,,,,22.38,14.19
88852,24.37,14.43,,,,
88972,,,21.64,51.65,,
89051,,,,,22.36,14.08
89864,24.35,14.39,,,,
89983,,,21.64,51.68,,
90062,,,,,22.38,14.05
90875,24.36,14.34,,,,
90995,,,21.63,51.68,,
91074,,,,,22.37,13.96
91887,24.36,14.31,,,,
92006,,,21.58,51.65,,
92086,,,,,22.39,13.93
92899,24.38,14.25,,,,
93018,,,21.62,51.65,,
93097,,,,,22.37,13.84
93910,24.37,14.13,,,,
94030,,,21.59,51.63,,
94109,,,,,22.38,13.78
94922,24.36,14.07,,,,
95042,,,21.6,51.67,,
95121,,,,,22.38,13.76
95934,24.34,14.07,,,,
96053,,,21.6,51.67,,
96132,,,,,22.36,13.67
96945,24.35,13.95,,,,
97065,,,21.59,51.68,,
97144,,,,,22.35,13.63
97957,24.36,13.95,,,,
98077,,,21.62,51.65,,
98156,,,,,22.38,13.57
98969,24.36,13.87,,,,
99088,,,21.59,51.66,,
99168,,,,,22.36,13.53
99981,24.36,13.76,,,,
100100,,,21.57,51.71,,
100180,,,,,22.38,13.48
100992,24.36,13.68,,,,
101112,,,21.57,51.73,,
101192,,,,,22.38,13.38
102004,24.36,13.67,,,,
102123,,,21.55,51.72,,
102203,,,,,22.36,13.37
103016,24.36,13.62,,,,
103135,,,21.56,51.76,,
103215,,,,,22.37,13.27
104027,24.34,13.61,,,,
104146,,,21.56,51.76,,
104227,,,,,22.34,13.22
105039,24.35,13.59,,,,
105158,,,21.55,51.79,,
105239,,,,,22.38,13.23
106051,24.34,13.54,,,,
106170,,,21.57,51.77,,
106250,,,,,22.35,13.17
107062,24.33,13.42,,,,
107181,,,21.57,51.78,,
107262,,,,,22.34,13.1
108074,24.34,13.39,,,,
108193,,,21.56,51.78,,
108274,,,,,22.34,13.05
109086,24.34,13.39,,,,
109205,,,21.54,51.8,,
109286,,,,,22.36,12.97
110097,24.33,13.32,,,,
110217,,,21.54,51.79,,
110297,,,,,22.35,12.97
111109,24.35,13.29,,,,
111228,,,21.55,51.79,,
111309,,,,,22.34,12.92
112121,24.32,13.25,,,,
112240,,,21.56,51.86,,
112321,,,,,22.37,12.83
113133,24.35,13.21,,,,
113251,,,21.57,51.82,,
113332,,,,,22.36,12.8
114145,24.36,13.15,,,,
114263,,,21.55,51.81,,
114344,,,,,22.34,12.74
115157,24.34,13.03,,,,
115275,,,21.53,51.84,,
115356,,,,,22.34,12.67
116168,24.34,12.94,,,,
116287,,,21.53,51.86,,
116367,,,,,22.36,12.65
117180,24.35,12.9,,,,
117298,,,21.53,51.87,,
117379,,,,,22.33,12.55
118192,24.35,12.78,,,,
118310,,,21.55,51.86,,
118391,,,,,22.34,12.52
119203,24.33,12.75,,,,
119322,,,21.53,51.89,,
119402,,,,,22.34,12.49
120215,24.34,12.69,,,,
120333,,,21.53,51.85,,
120414,,,,,22.36,12.44
121227,24.33,12.63,,,,
121345,,,21.49,51.87,,
121426,,,,,22.36,12.38
122239,24.31,12.6,,,,
122357,,,21.51,51.87,,
122438,,,,,22.36,12.33
123251,24.3,12.55,,,,
123368,,,21.51,51.93,,
123449,,,,,22.34,12.28
124263,24.32,12.55,,,,
124380,,,21.52,51.91,,
124461,,,,,22.36,12.24
125274,24.32,12.53,,,,
125392,,,21.52,51.91,,
125473,,,,,22.36,12.2
126286,24.31,12.49,,,,
126403,,,21.5,51.9,,
126485,,,,,22.36,12.15
127297,24.32,12.49,,,,
127415,,,21.49,51.93,,
127496,,,,,22.36,12.1
128309,24.33,12.46,,,,
128427,,,21.49,51.91,,
128508,,,,,22.36,12.1
129321,24.3,12.39,,,,
129438,,,21.52,51.94,,
129520,,,,,22.34,11.99
130333,24.33,12.41,,,,
130450,,,21.49,51.95,,
130532,,,,,22.31,11.91
131345,24.32,12.43,,,,
131462,,,21.52,51.98,,
131543,,,,,22.36,11.93
132356,24.3,12.39,,,,
